Chave,Resumo,Status,Responsável,EPIC,Data de Criação,Data de Atualização
ANS-74,EXAMPLE ISSUE 3,Tarefas pendentes,Não atribuído,ANS-71,2025-03-18T03:14:10.461-0300,2025-03-18T03:14:10.544-0300
ANS-73,EXAMPLE ISSUE 2,Tarefas pendentes,Não atribuído,ANS-71,2025-03-18T03:14:07.277-0300,2025-03-18T03:14:07.390-0300
ANS-72,EXAMPLE ISSUE 1,Tarefas pendentes,Não atribuído,ANS-71,2025-03-18T03:14:04.305-0300,2025-03-18T03:14:04.394-0300
ANS-67,CRIACAO DO ARQUIVO DE LICENCA,Concluído,Danilo Lopes,ANS-65,2025-03-16T04:53:50.288-0300,2025-03-16T05:16:56.155-0300
ANS-66,CRIACAO DE ARQUIVO README.MD,Concluído,Danilo Lopes,ANS-65,2025-03-16T04:53:47.775-0300,2025-03-16T05:16:54.799-0300
ANS-64, PROTEGER BRANCHE MASTER,Concluído,Danilo Lopes,ANS-52,2025-03-16T04:37:43.574-0300,2025-03-16T05:02:44.646-0300
ANS-63,CRIAR BRANCHES PARA OS EPICS NO GIT,Concluído,Danilo Lopes,ANS-52,2025-03-16T04:37:40.868-0300,2025-03-16T05:02:48.085-0300
ANS-62,CRIACAO DE CONTAS DE EMAIL NA AWS,Tarefas pendentes,Não atribuído,ANS-61,2025-03-16T04:37:38.442-0300,2025-03-16T04:37:38.517-0300
ANS-60,CONFIGURAR PIPELINE CI/CD PARA DEPLOY AUTOMÁTICO,Tarefas pendentes,Não atribuído,ANS-56,2025-03-16T04:34:41.122-0300,2025-03-16T04:34:41.250-0300
ANS-59,CONFIGURAR FRONTEND EM AWS S3 + CLOUDFRONT,Tarefas pendentes,Não atribuído,ANS-56,2025-03-16T04:34:38.409-0300,2025-03-16T04:34:38.510-0300
ANS-58,CONFIGURAR BACKEND EM ELASTIC BEANSTALK,Tarefas pendentes,Não atribuído,ANS-56,2025-03-16T04:34:35.340-0300,2025-03-16T04:34:35.496-0300
ANS-57,CRIAR INSTÂNCIA DE BANCO DE DADOS NA AWS RDS,Tarefas pendentes,Não atribuído,ANS-56,2025-03-16T04:34:33.067-0300,2025-03-16T04:34:33.184-0300
ANS-55,CONFIGURAR GITFLOW PARA GERENCIAMENTO DE BRANCHES,Tarefas pendentes,Não atribuído,ANS-52,2025-03-16T04:34:29.909-0300,2025-03-16T04:34:29.981-0300
ANS-54,CRIAR SCRIPT PYTHON CAPAZ DE AUTOMATIZAR CRIAÇÕES DE EPICS E CARDS,Concluído,Danilo Lopes,ANS-52,2025-03-16T04:34:27.355-0300,2025-03-16T05:02:46.372-0300
ANS-53,CRIAR REPOSITÓRIO NO GITHUB,Concluído,Danilo Lopes,ANS-52,2025-03-16T04:34:25.100-0300,2025-03-16T05:02:43.026-0300
ANS-51,IMPLEMENTAR ATUALIZAÇÃO DE STATUS DE TICKETS,Tarefas pendentes,Não atribuído,ANS-47,2025-03-16T04:34:21.165-0300,2025-03-16T04:34:21.239-0300
ANS-50,CRIAR INTERFACE PARA ABERTURA DE TICKETS,Tarefas pendentes,Não atribuído,ANS-47,2025-03-16T04:34:18.382-0300,2025-03-16T04:34:18.461-0300
ANS-49,CRIAR PÁGINA DE LOGIN E REGISTRO,Tarefas pendentes,Não atribuído,ANS-47,2025-03-16T04:34:15.595-0300,2025-03-16T04:34:15.713-0300
ANS-48,CONFIGURAR PROJETO REACT COM TYPESCRIPT,Tarefas pendentes,Não atribuído,ANS-47,2025-03-16T04:34:13.052-0300,2025-03-16T04:34:13.129-0300
ANS-46,CONFIGURAR AUTENTICAÇÃO JWT NA API,Tarefas pendentes,Não atribuído,ANS-42,2025-03-16T04:34:08.848-0300,2025-03-16T04:34:08.929-0300
ANS-45,IMPLEMENTAR CRUD COMPLETO NA API,Tarefas pendentes,Não atribuído,ANS-42,2025-03-16T04:34:05.597-0300,2025-03-16T04:34:05.742-0300
ANS-44,CRIAR API REST COM FLASK PARA GERENCIAR TICKETS,Tarefas pendentes,Não atribuído,ANS-42,2025-03-16T04:34:02.412-0300,2025-03-16T04:34:02.528-0300
ANS-43,CONFIGURAR AMBIENTE LOCAL COM PYTHON E POSTGRESQL,Tarefas pendentes,Não atribuído,ANS-42,2025-03-16T04:33:58.921-0300,2025-03-16T04:33:58.992-0300
